Target,Relation,Publications
@GENE_LMNA,associate,86
@GENE_WRN,associate,51
@GENE_KL,associate,36
@GENE_SIRT1,associate,20
@GENE_RECQL4,associate,16
@GENE_IGF1,associate,13
@GENE_BLM,associate,12
@GENE_MTOR,associate,11
@GENE_APOE,associate,9
@GENE_APP,associate,8
@GENE_GH1,associate,8
@GENE_ZMPSTE24,associate,7
@GENE_FGF23,associate,6
@GENE_INS,associate,6
@GENE_NFKB1,associate,6
@GENE_PDGFRB,associate,6
@GENE_BANF1,associate,5
@GENE_BDNF,associate,5
@GENE_CISD2,associate,5
@GENE_ELN,associate,5
@GENE_SGS1,associate,5
@GENE_SIRT6,associate,5
@GENE_TGFB1,associate,5
@GENE_TP53,associate,5
@GENE_AMH,associate,4
@GENE_ATM,associate,4
@GENE_CD4,associate,4
@GENE_ERCC1,associate,4
@GENE_MAPT,associate,4
@GENE_MMP1,associate,4
@GENE_NFE2L2,associate,4
@GENE_PIN1,associate,4
@GENE_POLG,associate,4
@GENE_SERPINE1,associate,4
@GENE_ARNTL,associate,3
@GENE_BRD4,associate,3
@GENE_ERCC6,associate,3
@GENE_FOXO3,associate,3
@GENE_GGH,associate,3
@GENE_HELLS,associate,3
@GENE_HFM1,associate,3
@GENE_HSD11B1,associate,3
@GENE_IL6,associate,3
@GENE_LGALS3,associate,3
@GENE_MAPK1,associate,3
@GENE_MYC,associate,3
@GENE_PRKAA2,associate,3
@GENE_RECQL,associate,3
@GENE_XRCC5,associate,3
@GENE_AKT1,associate,2
@GENE_BUB1B,associate,2
@GENE_CAPN1,associate,2
@GENE_CASP3,associate,2
@GENE_CCL19,associate,2
@GENE_CCL2,associate,2
@GENE_CDKN1A,associate,2
@GENE_CDKN2A,associate,2
@GENE_CR2,associate,2
@GENE_DAF_2,associate,2
@GENE_DPP4,associate,2
@GENE_EGFR,associate,2
@GENE_EGR1,associate,2
@GENE_ERCC2,associate,2
@GENE_ESR2,associate,2
@GENE_EXOSC2,associate,2
@GENE_FGF21,associate,2
@GENE_GDF15,associate,2
@GENE_GLB1,associate,2
@GENE_GTF2H3,associate,2
@GENE_H2AX,associate,2
@GENE_HCRT,associate,2
@GENE_HIF1A,associate,2
@GENE_HTRA2,associate,2
@GENE_IFNG,associate,2
@GENE_IGFBP3,associate,2
@GENE_IL4,associate,2
@GENE_ITGAX,associate,2
@GENE_JUNB,associate,2
@GENE_LEP,associate,2
@GENE_MMP9,associate,2
@GENE_NHP2,associate,2
@GENE_NR3C1,associate,2
@GENE_PARP1,associate,2
@GENE_PCSK6,associate,2
@GENE_PPARG,associate,2
@GENE_PPARGC1A,associate,2
@GENE_PRKAA1,associate,2
@GENE_PRKAB1,associate,2
@GENE_RECQL5,associate,2
@GENE_REN,associate,2
@GENE_SIRT3,associate,2
@GENE_SOD1,associate,2
@GENE_SPRTN,associate,2
@GENE_TARDBP,associate,2
@GENE_TERC,associate,2
@GENE_TERT,associate,2
@GENE_TNFRSF1A,associate,2
@GENE_TRP53_PS,associate,2
@GENE_ABCC6,associate,1
@GENE_ABCC9,associate,1
@GENE_ACAN,associate,1
@GENE_ACKR1,associate,1
@GENE_ACVR2B,associate,1
@GENE_ACVRL1,associate,1
@GENE_AD8,associate,1
@GENE_ADAM10,associate,1
@GENE_ADAMTS13,associate,1
@GENE_AGER,associate,1
@GENE_AGT,associate,1
@GENE_AHR,associate,1
@GENE_ALB,associate,1
@GENE_ALK,associate,1
@GENE_ALX4,associate,1
@GENE_ANGPTL2,associate,1
@GENE_ANXA2,associate,1
@GENE_ANXA6,associate,1
@GENE_APTX,associate,1
@GENE_AR,associate,1
@GENE_ARG1,associate,1
@GENE_ARMS2,associate,1
@GENE_ASPM,associate,1
@GENE_ASPRV1,associate,1
@GENE_ASXL1,associate,1
@GENE_AURKB,associate,1
@GENE_AXIN1,associate,1
@GENE_B4GALT1,associate,1
@GENE_BAG3,associate,1
@GENE_BAIAP3,associate,1
@GENE_BAX,associate,1
@GENE_BCHE,associate,1
@GENE_BDKRB2,associate,1
@GENE_BFSP1,associate,1
@GENE_BMI1,associate,1
@GENE_BNC1,associate,1
@GENE_BNIP3L,associate,1
@GENE_BP1,associate,1
@GENE_BRCA2,associate,1
@GENE_BRIP1,associate,1
@GENE_BTG1,associate,1
@GENE_BUB3,associate,1
@GENE_CAD,associate,1
@GENE_CAR1,associate,1
@GENE_CAR2,associate,1
@GENE_CASP2,associate,1
@GENE_CAT,associate,1
@GENE_CAV1,associate,1
@GENE_CBX3,associate,1
@GENE_CCL5,associate,1
@GENE_CCN1,associate,1
@GENE_CD80,associate,1
@GENE_CD8A,associate,1
@GENE_CDC20,associate,1
@GENE_CHICO,associate,1
@GENE_CHMP1B,associate,1
@GENE_CHRNA4,associate,1
@GENE_CHRNA7,associate,1
@GENE_CHRNB1,associate,1
@GENE_CIP2A,associate,1
@GENE_CLOCK,associate,1
@GENE_CLPP,associate,1
@GENE_CLU,associate,1
@GENE_CNR1,associate,1
@GENE_COL15A1,associate,1
@GENE_COX4I1,associate,1
@GENE_CREB1,associate,1
@GENE_CREG1,associate,1
@GENE_CRH_1,associate,1
@GENE_CRP,associate,1
@GENE_CRY1,associate,1
@GENE_CTNNB1,associate,1
@GENE_CUL4A,associate,1
@GENE_CYBB,associate,1
@GENE_CYP26B1,associate,1
@GENE_CYP2B10,associate,1
@GENE_DDB1,associate,1
@GENE_DIO1,associate,1
@GENE_DKK3,associate,1
@GENE_DLGAP1,associate,1
@GENE_DLGAP2,associate,1
@GENE_DNMT3A,associate,1
@GENE_DUOX2,associate,1
@GENE_DUSP1,associate,1
@GENE_DYSF,associate,1
@GENE_EAT_2,associate,1
@GENE_EDN1,associate,1
@GENE_EEF5,associate,1
@GENE_EFEMP1,associate,1
@GENE_EIF2A,associate,1
@GENE_ELK1,associate,1
@GENE_ELOVL2,associate,1
@GENE_EMD,associate,1
@GENE_ERCC4,associate,1
@GENE_ESR1,associate,1
@GENE_ESRRB,associate,1
@GENE_F3,associate,1
@GENE_F5,associate,1
@GENE_FAS,associate,1
@GENE_FBXO32,associate,1
@GENE_FCER2,associate,1
@GENE_FEN1,associate,1
@GENE_FERMT1,associate,1
@GENE_FGB,associate,1
@GENE_FGF19,associate,1
@GENE_FNDC5,associate,1
@GENE_FOLR1,associate,1
@GENE_FOXM1,associate,1
@GENE_FOXP3,associate,1
@GENE_FTL,associate,1
@GENE_FUT3,associate,1
@GENE_GBA,associate,1
@GENE_GDF11,associate,1
@GENE_GDNF,associate,1
@GENE_GHRH,associate,1
@GENE_GLYS,associate,1
@GENE_GMFB,associate,1
@GENE_GNRH1,associate,1
@GENE_GORAB,associate,1
@GENE_GPX1,associate,1
@GENE_GRIA1,associate,1
@GENE_GRIN2B,associate,1
@GENE_GRN,associate,1
@GENE_GSDME,associate,1
@GENE_GSK3A,associate,1
@GENE_GUSB,associate,1
@GENE_H2BC1,associate,1
@GENE_HES1,associate,1
@GENE_HLA_A,associate,1
@GENE_HMBS,associate,1
@GENE_HMGB1,associate,1
@GENE_HMOX1,associate,1
@GENE_HOP,associate,1
@GENE_HPCA,associate,1
@GENE_HTR1B,associate,1
@GENE_HTR3A,associate,1
@GENE_ICOS,associate,1
@GENE_IDH1,associate,1
@GENE_IFITM3,associate,1
@GENE_IGHD,associate,1
@GENE_IKBKG,associate,1
@GENE_IL10,associate,1
@GENE_IL2,associate,1
@GENE_IL21R,associate,1
@GENE_IL5,associate,1
@GENE_IRS1,associate,1
@GENE_JUND,associate,1
@GENE_KAT_1,associate,1
@GENE_KIR2DS5,associate,1
@GENE_KLB,associate,1
@GENE_KLF6,associate,1
@GENE_KMT2A,associate,1
@GENE_LAM,associate,1
@GENE_LAMC,associate,1
@GENE_LBP,associate,1
@GENE_LDBPK_352270,associate,1
@GENE_LGALS1,associate,1
@GENE_LOC103694380,associate,1
@GENE_LOXL2,associate,1
@GENE_LRRK2,associate,1
@GENE_MAN1C1,associate,1
@GENE_MAP3K5,associate,1
@GENE_MAPK14,associate,1
@GENE_MAPK3,associate,1
@GENE_MBL2,associate,1
@GENE_MC1R,associate,1
@GENE_MCF2L,associate,1
@GENE_MDM2,associate,1
@GENE_MEV_1,associate,1
@GENE_MFSD11,associate,1
@GENE_MGLUR,associate,1
@GENE_MIR1972_1,associate,1
@GENE_MIR21A,associate,1
@GENE_MIR451A,associate,1
@GENE_MIR494,associate,1
@GENE_MLH1,associate,1
@GENE_MLH3,associate,1
@GENE_MLXIP,associate,1
@GENE_MMP2,associate,1
@GENE_MPZL2,associate,1
@GENE_MSTN,associate,1
@GENE_MTD,associate,1
@GENE_MYB,associate,1
@GENE_NAT10,associate,1
@GENE_NEDD8,associate,1
@GENE_NES,associate,1
@GENE_NF1,associate,1
@GENE_NLRP3,associate,1
@GENE_NOS3,associate,1
@GENE_NOT,associate,1
@GENE_NR1D1,associate,1
@GENE_NR4A1,associate,1
@GENE_OTUD6B,associate,1
@GENE_OXR1,associate,1
@GENE_OXT,associate,1
@GENE_P2RX2,associate,1
@GENE_P53_PS,associate,1
@GENE_PAPSS2,associate,1
@GENE_PCMT1,associate,1
@GENE_PCNA,associate,1
@GENE_PDE10A,associate,1
@GENE_PDZRN3,associate,1
@GENE_PF4,associate,1
@GENE_PI4K2A,associate,1
@GENE_PINK1,associate,1
@GENE_PLN,associate,1
@GENE_POLD1,associate,1
@GENE_PON1,associate,1
@GENE_PPARA,associate,1
@GENE_PRDM8,associate,1
@GENE_PRKCA,associate,1
@GENE_PRKDC,associate,1
@GENE_PRNP,associate,1
@GENE_PROP1,associate,1
@GENE_PRR34,associate,1
@GENE_PSMB8,associate,1
@GENE_PSMB9,associate,1
@GENE_PTEN,associate,1
@GENE_PTHLH,associate,1
@GENE_PTK2,associate,1
@GENE_PTX3,associate,1
@GENE_QKI,associate,1
@GENE_RAE1,associate,1
@GENE_REEP5,associate,1
@GENE_RELA,associate,1
@GENE_RET,associate,1
@GENE_RGN,associate,1
@GENE_RORC,associate,1
@GENE_RPS6KB1,associate,1
@GENE_RTBDN,associate,1
@GENE_RYR2,associate,1
@GENE_S100B,associate,1
@GENE_SAG,associate,1
@GENE_SCYL1,associate,1
@GENE_SGCG,associate,1
@GENE_SIRT2,associate,1
@GENE_SLC34A1,associate,1
@GENE_SLC39A12,associate,1
@GENE_SLC45A2,associate,1
@GENE_SLC51A,associate,1
@GENE_SLC51B,associate,1
@GENE_SMURF2,associate,1
@GENE_SOD2,associate,1
@GENE_SOD3,associate,1
@GENE_SOX2,associate,1
@GENE_SP7,associate,1
@GENE_SPATC1,associate,1
@GENE_SPL,associate,1
@GENE_SRL,associate,1
@GENE_SRPRA,associate,1
@GENE_ST6GAL1,associate,1
@GENE_STAT1,associate,1
@GENE_STAT92E,associate,1
@GENE_STIM1,associate,1
@GENE_STMN1,associate,1
@GENE_SUN1,associate,1
@GENE_TAF7L,associate,1
@GENE_TAT,associate,1
@GENE_TBP,associate,1
@GENE_TBX21,associate,1
@GENE_TERF2,associate,1
@GENE_TET2,associate,1
@GENE_TH,associate,1
@GENE_THRA,associate,1
@GENE_TIMP1,associate,1
@GENE_TLR4,associate,1
@GENE_TNF,associate,1
@GENE_TOM70,associate,1
@GENE_TOP2A,associate,1
@GENE_TP53BP1,associate,1
@GENE_TPI1,associate,1
@GENE_TPP1,associate,1
@GENE_TRAP1,associate,1
@GENE_TREM2,associate,1
@GENE_TRNG,associate,1
@GENE_TUSC2,associate,1
@GENE_TYR,associate,1
@GENE_USP30,associate,1
@GENE_VAP,associate,1
@GENE_VAP33,associate,1
@GENE_VCP,associate,1
@GENE_VDR,associate,1
@GENE_VIM,associate,1
@GENE_VTN,associate,1
@GENE_VWF,associate,1
@GENE_WFS1,associate,1
@GENE_WNT7B,associate,1
@GENE_WRNIP1,associate,1
@GENE_WRN_1,associate,1
@GENE_WWOX,associate,1
@GENE_XBP1,associate,1
@GENE_XPNPEP2,associate,1
@GENE_YAP1,associate,1
