Target,Relation,Publications
@GENE_EYA1,associate,125
@GENE_SIX1,associate,47
@GENE_TFAP2A,associate,36
@GENE_SIX5,associate,10
@GENE_EYA,associate,8
@GENE_SALL1,associate,3
@GENE_CDCA8,associate,2
@GENE_DACH1,associate,2
@GENE_SHARPIN,associate,2
@GENE_ACE,associate,1
@GENE_ANLN,associate,1
@GENE_BMI1,associate,1
@GENE_CD209,associate,1
@GENE_CD34,associate,1
@GENE_CD79A,associate,1
@GENE_CDH11,associate,1
@GENE_COL2A1,associate,1
@GENE_CTNNB1,associate,1
@GENE_CYP51A1,associate,1
@GENE_EFTUD2,associate,1
@GENE_EPB41L3,associate,1
@GENE_EYA1.L,associate,1
@GENE_EYA2,associate,1
@GENE_EYA4,associate,1
@GENE_FADD,associate,1
@GENE_FGB,associate,1
@GENE_FGF3,associate,1
@GENE_FOXD1,associate,1
@GENE_GJA1,associate,1
@GENE_GLI3,associate,1
@GENE_GRHL3,associate,1
@GENE_HN,associate,1
@GENE_HOXA2,associate,1
@GENE_KCNQ4,associate,1
@GENE_KCTD1,associate,1
@GENE_LGR5,associate,1
@GENE_LMNA,associate,1
@GENE_LOC100545319,associate,1
@GENE_MCRS1,associate,1
@GENE_MYO7A,associate,1
@GENE_NDUFB9,associate,1
@GENE_OTX2,associate,1
@GENE_PA2G4,associate,1
@GENE_PECAM1,associate,1
@GENE_PENK,associate,1
@GENE_PGAP1,associate,1
@GENE_PKP2,associate,1
@GENE_RBCK1,associate,1
@GENE_SHH,associate,1
@GENE_SIX1.L,associate,1
@GENE_SIX2,associate,1
@GENE_SIX6,associate,1
@GENE_SLC22A2,associate,1
@GENE_SOBP,associate,1
@GENE_TBX1,associate,1
@GENE_WNT1,associate,1
@GENE_WT1,associate,1
