Target,Relation,Publications
@GENE_TARDBP,associate,43
@GENE_BDNF,associate,22
@GENE_APOE,associate,19
@GENE_MAPT,associate,16
@GENE_APP,associate,15
@GENE_AKT1,associate,13
@GENE_ABCC9,associate,12
@GENE_GRN,associate,12
@GENE_IL1B,associate,11
@GENE_TMEM106B,associate,11
@GENE_SCN1A,associate,10
@GENE_CASP3,associate,9
@GENE_CREB1,associate,9
@GENE_TNF,associate,8
@GENE_GFAP,associate,7
@GENE_MTOR,associate,7
@GENE_HMGB1,associate,6
@GENE_LGI1,associate,6
@GENE_BAX,associate,5
@GENE_GAD1,associate,5
@GENE_GSK3B,associate,5
@GENE_IGF1,associate,5
@GENE_IL1A,associate,5
@GENE_ABCB1,associate,4
@GENE_BCL2,associate,4
@GENE_CA2,associate,4
@GENE_CD8A,associate,4
@GENE_GRM5,associate,4
@GENE_KCNMB2,associate,4
@GENE_KRAS,associate,4
@GENE_MAPK8,associate,4
@GENE_NFE2L2,associate,4
@GENE_NLRP3,associate,4
@GENE_NPY,associate,4
@GENE_PSEN1,associate,4
@GENE_RELN,associate,4
@GENE_VEGFA,associate,4
@GENE_ADORA2A,associate,3
@GENE_CALB2,associate,3
@GENE_CCL2,associate,3
@GENE_CCR2,associate,3
@GENE_CD4,associate,3
@GENE_CNTNAP2,associate,3
@GENE_DCX,associate,3
@GENE_EPHB1,associate,3
@GENE_FOS,associate,3
@GENE_GDNF,associate,3
@GENE_GJA1,associate,3
@GENE_GRIA2,associate,3
@GENE_GRIN1,associate,3
@GENE_GRIN2A,associate,3
@GENE_GRM1,associate,3
@GENE_HSPA4,associate,3
@GENE_IL18,associate,3
@GENE_IL6,associate,3
@GENE_LCN2,associate,3
@GENE_MAP2,associate,3
@GENE_MAPK1,associate,3
@GENE_NF1,associate,3
@GENE_NOS1,associate,3
@GENE_NR3C1,associate,3
@GENE_REST,associate,3
@GENE_SIRT1,associate,3
@GENE_SLC12A5,associate,3
@GENE_SLC1A3,associate,3
@GENE_SNCA,associate,3
@GENE_SOX2,associate,3
@GENE_SV2A,associate,3
@GENE_ABCC2,associate,2
@GENE_ACHE,associate,2
@GENE_AIF1,associate,2
@GENE_ALB,associate,2
@GENE_AQP4,associate,2
@GENE_BBC3,associate,2
@GENE_BID,associate,2
@GENE_C9ORF72,associate,2
@GENE_CA4,associate,2
@GENE_CAPN1,associate,2
@GENE_CDK5,associate,2
@GENE_CRHR1,associate,2
@GENE_CTSB,associate,2
@GENE_CX3CR1,associate,2
@GENE_DEPDC5,associate,2
@GENE_DKK1,associate,2
@GENE_DYRK1A,associate,2
@GENE_FAS,associate,2
@GENE_GJB1,associate,2
@GENE_GJB6,associate,2
@GENE_GLUL,associate,2
