Target,Relation,Publications
@GENE_WRN,associate,441
@GENE_BLM,associate,38
@GENE_LMNA,associate,32
@GENE_HFM1,associate,29
@GENE_RECQL4,associate,22
@GENE_SGS1,associate,19
@GENE_MAPK14,associate,17
@GENE_TP53,associate,17
@GENE_INS,associate,10
@GENE_WRNIP1,associate,9
@GENE_PARP1,associate,7
@GENE_CDKN1A,associate,6
@GENE_RECQL5,associate,6
@GENE_TERF2,associate,6
@GENE_ANK1,associate,5
@GENE_EFEMP1,associate,5
@GENE_FN1,associate,5
@GENE_HPRT1,associate,5
@GENE_IGFBP3,associate,5
@GENE_POLD1,associate,5
@GENE_RECQL,associate,5
@GENE_ATM,associate,4
@GENE_CDKN2A,associate,4
@GENE_LMBR1,associate,4
@GENE_MAPKAPK2,associate,4
@GENE_PRKDC,associate,4
@GENE_RAD51,associate,4
@GENE_SERPINE1,associate,4
@GENE_WRNEXO,associate,4
@GENE_ATR,associate,3
@GENE_ERCC5,associate,3
@GENE_FEN1,associate,3
@GENE_INSR,associate,3
@GENE_MYC,associate,3
@GENE_POLB,associate,3
@GENE_RAD54L,associate,3
@GENE_SHH,associate,3
@GENE_SOD1,associate,3
@GENE_TOP2A,associate,3
@GENE_WRN.L,associate,3
@GENE_CAT,associate,2
@GENE_CHEK1,associate,2
@GENE_CPED1,associate,2
@GENE_D616_P110018,associate,2
@GENE_DHX9,associate,2
@GENE_FAS,associate,2
@GENE_GH1,associate,2
@GENE_GPATCH1,associate,2
@GENE_GSR,associate,2
@GENE_GTF2E2,associate,2
@GENE_GYPA,associate,2
@GENE_HOXC4,associate,2
@GENE_IDUA,associate,2
@GENE_IGF1,associate,2
@GENE_IL6,associate,2
@GENE_MAPK8,associate,2
@GENE_MMP9,associate,2
@GENE_MRE11,associate,2
@GENE_NBN,associate,2
@GENE_PCNA,associate,2
@GENE_PLAT,associate,2
@GENE_POT1,associate,2
@GENE_PPP2CB,associate,2
@GENE_RPA1,associate,2
@GENE_SHOX,associate,2
@GENE_SIRT1,associate,2
@GENE_TAGLN,associate,2
@GENE_TGFB1,associate,2
@GENE_TRP53_PS,associate,2
@GENE_VCP,associate,2
@GENE_WRN_1,associate,2
@GENE_ABL1,associate,1
@GENE_ADIPOQ,associate,1
@GENE_AKT1,associate,1
@GENE_APEX1,associate,1
@GENE_APOA1,associate,1
@GENE_APP,associate,1
@GENE_BACH1,associate,1
@GENE_BCL2A1,associate,1
@GENE_BCR,associate,1
@GENE_BPT,associate,1
@GENE_BRCA1,associate,1
@GENE_BRCA2,associate,1
@GENE_BRIP1,associate,1
@GENE_CACUL1,associate,1
@GENE_CASP1,associate,1
@GENE_CBS,associate,1
@GENE_CDC42,associate,1
@GENE_CDK1,associate,1
@GENE_CHD1L,associate,1
@GENE_CIDEC,associate,1
@GENE_COL1A1,associate,1
@GENE_COL2A1,associate,1
@GENE_COL3A1,associate,1
@GENE_CRP,associate,1
@GENE_CSE,associate,1
@GENE_CSF2,associate,1
@GENE_CTH,associate,1
@GENE_CTNNBIP1,associate,1
@GENE_CYP2B10,associate,1
@GENE_DHFR,associate,1
@GENE_DHX16,associate,1
@GENE_DNA2,associate,1
@GENE_EEF1A2,associate,1
@GENE_EIF2S2,associate,1
@GENE_ENOSF1,associate,1
@GENE_ERCC6,associate,1
@GENE_EST2,associate,1
