XX,Start,End,Term,Ontology,Identifier,Test_no
00000,27,40,Phototoxicity,Disease,MESH:D017484,498
00000,57,62,Human,Species,9606,498
00000,73,86,Phototoxicity,Disease,MESH:D017484,498
00000,112,116,442E,Chemical,498
00000,354,359,human,Species,9606,498
00000,383,401,skin sensitisation,Disease,MESH:D012871,498
00000,564,567,AOP,Chemical,MESH:C111989,498
00000,593,611,Skin sensitisation,Disease,MESH:D012871,498
00000,889,892,AOP,Chemical,MESH:C111989,498
00000,902,907,human,Species,9606,498
00000,961,965,U937,CellLine,CVCL:0007,498
00000,997,1001,SENS,Gene,284252,498
00000,1016,1029,Interleukin-8,Gene,3576,498
00000,1053,1057,IL-8,Gene,3576,498
00000,1407,1411,CD54,Gene,3383,498
00000,1413,1417,CD86,Gene,942,498
00000,1437,1441,IL-8,Gene,3576,498
00000,1523,1527,SENS,Gene,284252,498
00000,1637,1649,fluorochrome,Chemical,MESH:D005456,498
00000,1676,1680,IL-8,Gene,3576,498
00000,1707,1711,IL-8,Gene,3576,498
00000,1810,1814,IL-8,Gene,3576,498
00000,2080,2089,Mammalian,Species,9606,498
00000,2842,2849,mitosis,Disease,OMIM:604588,498
00000,3040,3047,mitosis,Disease,OMIM:604588,498
00000,3105,3110,Human,Species,9606,498
00000,3412,3417,human,Species,9606,498
00000,3549,3554,human,Species,9606,498
00000,4427,4431,IL-2,Gene,3558,498
00000,4480,4484,IL-2,Gene,3558,498
00000,4791,4795,IL-2,Gene,3558,498
00000,4797,4802,IFN-g,Gene,3458,498
00000,4807,4812,GAPDH,Gene,2597,498
00000,5024,5028,Nrf2,Gene,4780,498
00000,5092,5097,human,Species,9606,498
00000,5121,5139,skin sensitisation,Disease,MESH:D012871,498
00000,5180,5198,Skin sensitisation,Disease,MESH:D012871,498
00000,5459,5463,Nrf2,Gene,4780,498
00000,5666,5684,skin sensitisation,Disease,MESH:D012871,498
00000,5965,5969,Nrf2,Gene,4780,498
00000,6314,6318,Nrf2,Gene,4780,498
00000,6532,6536,Nrf2,Gene,4780,498
00000,6657,6661,Nrf2,Gene,4780,498
00000,6894,6903,Mammalian,Species,9606,498
00000,7065,7074,mammalian,Species,9606,498
00000,7090,7112,Structural aberrations,Disease,MESH:D002869,498
00000,7185,7194,Mammalian,Species,9606,498
00000,7947,7954,mitosis,Disease,OMIM:604588,498
00000,8145,8152,mitosis,Disease,OMIM:604588,498
00000,8180,8189,Mammalian,Species,9606,498
00000,8351,8360,mammalian,Species,9606,498
00000,8376,8398,Structural aberrations,Disease,MESH:D002869,498
00000,8471,8480,Mammalian,Species,9606,498
00000,9233,9240,mitosis,Disease,OMIM:604588,498
00000,9431,9438,mitosis,Disease,OMIM:604588,498
00000,9824,9833,Mammalian,Species,9606,498
00000,9994,10003,mammalian,Species,9606,498
00000,10019,10041,Structural aberrations,Disease,MESH:D002869,498
00000,10179,10192,Guideline 435,Chemical,MESH:C002099,498
00000,10647,10656,Mammalian,Species,9606,498
00000,10693,10702,mammalian,Species,9606,498
00000,10875,10884,thymidine,Chemical,MESH:D013936,498
00000,10901,10936,hypoxanthine-guanine phosphoribosyl,Chemical,MESH:D007042,498
00000,10950,10954,HPRT,Gene,3251,498
00000,10976,11006,xanthineguanine phosphoribosyl,Chemical,MESH:C003130,498
00000,11035,11039,HPRT,Gene,3251,498
00000,11134,11147,Phototoxicity,Disease,MESH:D017484,498
00000,11164,11169,Human,Species,9606,498
00000,11180,11223,Phototoxicity test methodSkin phototoxicity,Disease,MESH:D017484,498
00000,11437,11442,human,Species,9606,498
00000,11453,11466,phototoxicity,Disease,MESH:D017484,498
00000,11505,11515,phototoxic,Disease,MESH:D017484,498
00000,11588,11593,human,Species,9606,498
00000,11669,11682,Phototoxicity,Disease,MESH:D017484,498
00000,11902,11912,phototoxic,Disease,MESH:D017484,498
00000,12071,12076,Human,Species,9606,498
00000,12378,12383,human,Species,9606,498
00000,12515,12520,human,Species,9606,498
00000,13320,13333,Phototoxicity,Disease,MESH:D017484,498
00000,13395,13407,cytotoxicity,Disease,MESH:D064420,498
00000,13579,13584,Human,Species,9606,498
00000,13885,13890,human,Species,9606,498
00000,14022,14027,human,Species,9606,498
00000,14897,14902,Human,Species,9606,498
00000,15598,15620,defines skin corrosion,Disease,MESH:D012871,498
00000,15753,15767,skin corrosion,Disease,MESH:D012871,498
00000,15783,15788,human,Species,9606,498
00000,16382,16387,Human,Species,9606,498
00000,16456,16461,human,Species,9606,498
00000,16485,16499,skin corrosion,Disease,MESH:D012871,498
00000,16540,16554,Skin corrosion,Disease,MESH:D012871,498
00000,16637,16645,necrosis,Disease,MESH:D009336,498
00000,16793,16802,Mammalian,Species,9606,498
00000,16838,16842,Hprt,Gene,3251,498
00000,16870,16879,mammalian,Species,9606,498
00000,17034,17069,hypoxanthine-guanine phosphoribosyl,Chemical,MESH:D007042,498
00000,17083,17087,HPRT,Gene,3251,498
00000,17112,17142,xanthineguanine phosphoribosyl,Chemical,MESH:C003130,498
00000,17167,17171,HPRT,Gene,3251,498
00000,17266,17275,Mammalian,Species,9606,498
00000,17311,17320,Thymidine,Chemical,MESH:D013936,498
00000,17345,17354,mammalian,Species,9606,498
00000,17487,17496,mammalian,Species,9606,498
00000,17585,17589,7.2C,CellLine,CVCL:J025,498
00000,17604,17609,mouse,Species,10090,498
00000,17610,17618,lymphoma,Disease,MESH:D008223,498
00000,17626,17629,MLA,Chemical,MESH:C521086,498
00000,17791,17800,Mammalian,Species,9606,498
00000,17836,17840,Hprt,Gene,3251,498
00000,17868,17877,mammalian,Species,9606,498
00000,18032,18067,hypoxanthine-guanine phosphoribosyl,Chemical,MESH:D007042,498
00000,18081,18085,HPRT,Gene,3251,498
00000,18110,18140,xanthineguanine phosphoribosyl,Chemical,MESH:C003130,498
00000,18165,18169,HPRT,Gene,3251,498
00000,18264,18278,skin corrosion,Disease,MESH:D012871,498
00000,18294,18299,human,Species,9606,498
00000,18863,18872,Mammalian,Species,9606,498
00000,18908,18917,Thymidine,Chemical,MESH:D013936,498
00000,18942,18951,mammalian,Species,9606,498
00000,19084,19093,mammalian,Species,9606,498
00000,19182,19186,7.2C,CellLine,CVCL:J025,498
00000,19201,19206,mouse,Species,10090,498
00000,19207,19215,lymphoma,Disease,MESH:D008223,498
00000,19223,19226,MLA,Chemical,MESH:C521086,498
00000,19492,19497,human,Species,9606,498
00000,19514,19528,skin corrosion,Disease,MESH:D012871,498
00000,19549,19552,rat,Species,10116,498
00000,19923,19928,Human,Species,9606,498
00000,19997,20002,human,Species,9606,498
00000,20026,20040,skin corrosion,Disease,MESH:D012871,498
00000,20081,20095,Skin corrosion,Disease,MESH:D012871,498
00000,20178,20186,necrosis,Disease,MESH:D009336,498
00000,20445,20450,human,Species,9606,498
00000,20474,20488,skin corrosion,Disease,MESH:D012871,498
00000,20529,20543,Skin corrosion,Disease,MESH:D012871,498
00000,20626,20634,necrosis,Disease,MESH:D009336,498
00000,20837,20846,Mammalian,Species,9606,498
00000,20898,20911,Guideline 479,Chemical,MESH:C000596309,498
00000,20977,20986,Mammalian,Species,9606,498
00000,21140,21157,Estrogen Receptor,Gene,2099,498
00000,21332,21349,Estrogen Receptor,Gene,2099,498
00000,21484,21501,estrogen receptor,Gene,2099,498
00000,21732,21745,ERa-HeLa-9903,CellLine,CVCL:2485,498
00000,21772,21777,human,Species,9606,498
00000,21787,21792,tumor,Disease,MESH:D009369,498
00000,21802,21805,BG1,CellLine,CVCL:6570,498
00000,21831,21834,BG1,CellLine,CVCL:6570,498
00000,21839,21841,E2,CellLine,CVCL:6769,498
00000,21868,21873,human,Species,9606,498
00000,21874,21896,ovarian adenocarcinoma,Disease,MESH:D010051,498
00000,22861,22878,Estrogen Receptor,Gene,2099,498
00000,23053,23070,Estrogen Receptor,Gene,2099,498
00000,23205,23222,estrogen receptor,Gene,2099,498
00000,23453,23466,ERa-HeLa-9903,CellLine,CVCL:2485,498
00000,23493,23498,human,Species,9606,498
00000,23508,23513,tumor,Disease,MESH:D009369,498
00000,23523,23526,BG1,CellLine,CVCL:6570,498
00000,23552,23555,BG1,CellLine,CVCL:6570,498
00000,23560,23562,E2,CellLine,CVCL:6769,498
00000,23589,23594,human,Species,9606,498
00000,23595,23617,ovarian adenocarcinoma,Disease,MESH:D010051,498
00000,24538,24551,rainbow trout,Species,8022,498
00000,24677,24690,rainbow trout,Species,8022,498
00000,24693,24712,Oncorhynchus mykiss,Species,8022,498
00000,25447,25460,rainbow trout,Species,8022,498
00000,25540,25553,rainbow trout,Species,8022,498
00000,25556,25575,Oncorhynchus mykiss,Species,8022,498
00000,26358,26375,Estrogen Receptor,Gene,100136026,498
00000,26535,26552,Estrogen Receptor,Gene,100136026,498
00000,26665,26682,estrogen receptor,Gene,100136026,498
00000,26897,26910,ERa-HeLa-9903,CellLine,CVCL:2485,498
00000,26937,26942,human,Species,9606,498
00000,26952,26957,tumor,Disease,MESH:D009369,498
00000,26967,26970,BG1,CellLine,CVCL:6570,498
00000,26996,26999,BG1,CellLine,CVCL:6570,498
00000,27004,27006,E2,CellLine,CVCL:6769,498
00000,27033,27038,human,Species,9606,498
00000,27039,27061,ovarian adenocarcinoma,Disease,MESH:D010051,498
00000,27893,27902,Mammalian,Species,9606,498
00000,27963,27976,Guideline 482,Chemical,MESH:C056814,498
00000,28050,28059,Mammalian,Species,9606,498
00000,28482,28492,eye damage,Disease,MESH:D005131,498
00000,28547,28561,eye irritation,Disease,MESH:D005128,498
00000,28573,28583,eye damage,Disease,MESH:D005131,498
00000,29728,29740,cytotoxicity,Disease,MESH:D064420,498
00000,29845,29849,SIRC,CellLine,CVCL:2724,498
00000,29880,29893,polycarbonate,Chemical,MESH:C028237,498
00000,29957,29969,cytotoxicity,Disease,MESH:D064420,498
00000,30026,30030,SIRC,CellLine,CVCL:2724,498
00000,30139,30152,ocular damage,Disease,MESH:D009422,498
00000,30358,30392,Thiazolyl Blue Tetrazolium Bromide,Chemical,MESH:C022616,498
00000,30898,30903,Human,Species,9606,498
00000,30916,30933,Estrogen Receptor,Gene,2099,498
00000,31107,31112,human,Species,9606,498
00000,31167,31184,estrogen receptor,Gene,2099,498
00000,31322,31339,estrogen receptor,Gene,2099,498
00000,31547,31564,Estrogen Receptor,Gene,2099,498
00000,31604,31609,Human,Species,9606,498
00000,31694,31711,Estrogen Receptor,Gene,2099,498
00000,31734,31739,Human,Species,9606,498
00000,31845,31858,17b-estradiol,Chemical,MESH:D020381,498
00000,27,36,Mammalian,Species,9606,473
00000,77,81,442E,Chemical,473
00000,319,324,human,Species,9606,473
00000,348,366,skin sensitisation,Disease,MESH:D012871,473
00000,529,532,AOP,Chemical,MESH:C111989,473
00000,558,576,Skin sensitisation,Disease,MESH:D012871,473
00000,854,857,AOP,Chemical,MESH:C111989,473
00000,867,872,human,Species,9606,473
00000,926,930,U937,CellLine,CVCL:0007,473
00000,962,966,SENS,Gene,284252,473
00000,981,994,Interleukin-8,Gene,3576,473
00000,1018,1022,IL-8,Gene,3576,473
00000,1372,1376,CD54,Gene,3383,473
00000,1378,1382,CD86,Gene,942,473
00000,1402,1406,IL-8,Gene,3576,473
00000,1488,1492,SENS,Gene,284252,473
00000,1602,1614,fluorochrome,Chemical,MESH:D005456,473
00000,1641,1645,IL-8,Gene,3576,473
00000,1672,1676,IL-8,Gene,3576,473
00000,1775,1779,IL-8,Gene,3576,473
00000,2045,2054,Mammalian,Species,9606,473
00000,2807,2814,mitosis,Disease,OMIM:604588,473
00000,3005,3012,mitosis,Disease,OMIM:604588,473
00000,3070,3075,Human,Species,9606,473
00000,3377,3382,human,Species,9606,473
00000,3514,3519,human,Species,9606,473
00000,4392,4396,IL-2,Gene,3558,473
00000,4445,4449,IL-2,Gene,3558,473
00000,4756,4760,IL-2,Gene,3558,473
00000,4762,4767,IFN-g,Gene,3458,473
00000,4772,4777,GAPDH,Gene,2597,473
00000,4989,4993,Nrf2,Gene,4780,473
00000,5057,5062,human,Species,9606,473
00000,5086,5104,skin sensitisation,Disease,MESH:D012871,473
00000,5145,5163,Skin sensitisation,Disease,MESH:D012871,473
00000,5424,5428,Nrf2,Gene,4780,473
00000,5631,5649,skin sensitisation,Disease,MESH:D012871,473
00000,5930,5934,Nrf2,Gene,4780,473
00000,6279,6283,Nrf2,Gene,4780,473
00000,6497,6501,Nrf2,Gene,4780,473
00000,6622,6626,Nrf2,Gene,4780,473
00000,6859,6868,Mammalian,Species,9606,473
00000,7030,7039,mammalian,Species,9606,473
00000,7055,7077,Structural aberrations,Disease,MESH:D002869,473
00000,7150,7159,Mammalian,Species,9606,473
00000,7912,7919,mitosis,Disease,OMIM:604588,473
00000,8110,8117,mitosis,Disease,OMIM:604588,473
00000,8145,8154,Mammalian,Species,9606,473
00000,8316,8325,mammalian,Species,9606,473
00000,8341,8363,Structural aberrations,Disease,MESH:D002869,473
00000,8436,8445,Mammalian,Species,9606,473
00000,9198,9205,mitosis,Disease,OMIM:604588,473
00000,9396,9403,mitosis,Disease,OMIM:604588,473
00000,9789,9798,Mammalian,Species,9606,473
00000,9959,9968,mammalian,Species,9606,473
00000,9984,10006,Structural aberrations,Disease,MESH:D002869,473
00000,10144,10157,Guideline 435,Chemical,MESH:C002099,473
00000,10612,10621,Mammalian,Species,9606,473
00000,10658,10667,mammalian,Species,9606,473
00000,10840,10849,thymidine,Chemical,MESH:D013936,473
00000,10866,10901,hypoxanthine-guanine phosphoribosyl,Chemical,MESH:D007042,473
00000,10915,10919,HPRT,Gene,3251,473
00000,10941,10971,xanthineguanine phosphoribosyl,Chemical,MESH:C003130,473
00000,11000,11004,HPRT,Gene,3251,473
00000,11099,11112,Phototoxicity,Disease,MESH:D017484,473
00000,11129,11134,Human,Species,9606,473
00000,11145,11188,Phototoxicity test methodSkin phototoxicity,Disease,MESH:D017484,473
00000,11402,11407,human,Species,9606,473
00000,11418,11431,phototoxicity,Disease,MESH:D017484,473
00000,11470,11480,phototoxic,Disease,MESH:D017484,473
00000,11553,11558,human,Species,9606,473
00000,11634,11647,Phototoxicity,Disease,MESH:D017484,473
00000,11867,11877,phototoxic,Disease,MESH:D017484,473
00000,12036,12041,Human,Species,9606,473
00000,12343,12348,human,Species,9606,473
00000,12480,12485,human,Species,9606,473
00000,13285,13298,Phototoxicity,Disease,MESH:D017484,473
00000,13360,13372,cytotoxicity,Disease,MESH:D064420,473
00000,13544,13549,Human,Species,9606,473
